10:00:10 [INFO] [AGENDAMENTO] Iniciando task tarefa_1783050947.944213 para gomessandriely003@gmail.com com ação solicitar
10:00:12 [INFO] Modo COMUM + RECLAMAÇÕES ativado: serão buscados os dois tipos e ordenados por date_created.
10:00:12 [INFO] Buscando offset 0...
10:00:13 [INFO] Buscando offset 50...
10:00:15 [INFO] Buscando offset 100...
10:00:16 [INFO] Buscando offset 150...
10:00:18 [INFO] Buscando offset 200...
10:00:19 [INFO] Buscando offset 250...
10:00:21 [INFO] Buscando offset 300...
10:00:22 [INFO] Buscando offset 350...
10:00:24 [INFO] Buscando offset 400...
10:00:26 [INFO] Buscando offset 450...
10:00:28 [INFO] Buscando offset 500...
10:00:29 [INFO] Buscando offset 550...
10:00:32 [INFO] Buscando offset 600...
10:00:33 [INFO] Buscando offset 650...
10:00:33 [INFO] Busca finalizada. Total capturado: 674
10:00:33 [INFO] Buscando offset 0...
10:00:35 [INFO] Buscando offset 50...
10:00:37 [INFO] Buscando offset 100...
10:00:38 [INFO] Busca finalizada. Total capturado: 108
10:01:41 [INFO] Busca mista finalizada. Comuns: 674; reclamações: 108; total: 679
10:01:41 [INFO] Iniciando ação: SOLICITAR...
10:01:41 [INFO] Executando ação 'solicitar' em modo agendamento, aguardando conclusão...
10:01:42 [INFO] Mensagem já Enviada no chat da Ordem 2000017106263184...
10:01:43 [INFO] Mensagem já Enviada no chat da Ordem 2000017128659628...
10:01:44 [INFO] Mensagem já Enviada no chat da Ordem 2000017131394154...
10:01:44 [INFO] Mensagem já Enviada no chat da Ordem 2000017142701628...
10:01:45 [INFO] Mensagem já Enviada no chat da Ordem 2000017147854686...
10:01:46 [INFO] Mensagem já Enviada no chat da Ordem 2000017156152974...
10:01:46 [INFO] Mensagem já Enviada no chat da Ordem 2000017159711002...
10:01:48 [INFO] Mensagem já Enviada no chat da Ordem 2000017160230220...
10:01:48 [INFO] Mensagem já Enviada no chat da Ordem 2000017165894428...
10:01:50 [INFO] Mensagem já Enviada no chat da Ordem 2000017166958530...
10:01:50 [INFO] Mensagem já Enviada no chat da Ordem 2000017166923802...
10:01:51 [INFO] Mensagem já Enviada no chat da Ordem 2000017167206234...
10:01:51 [INFO] Mensagem já Enviada no chat da Ordem 2000017167721846...
10:01:52 [INFO] Mensagem já Enviada no chat da Ordem 2000017168257336...
10:01:53 [INFO] Mensagem já Enviada no chat da Ordem 2000017168392752...
10:01:54 [INFO] Mensagem já Enviada no chat da Ordem 2000017169242528...
10:01:54 [INFO] Modo reclamação ativado: pulando solicitação de telefone para a ordem 2000017169545390.
10:01:54 [INFO] Ordem 2000017169545390: Limite de 2 mensagens de encerramento atingido.
10:01:54 [INFO] Processamento da ordem 2000017169545390 concluído. Próxima ordem...
10:01:55 [INFO] Mensagem já Enviada no chat da Ordem 2000017170352464...
10:01:56 [INFO] Mensagem já Enviada no chat da Ordem 2000017171071580...
10:01:57 [INFO] Mensagem já Enviada no chat da Ordem 2000017174160772...
10:01:57 [INFO] Modo reclamação ativado: pulando solicitação de telefone para a ordem 2000017174195822.
10:01:57 [INFO] Ordem 2000017174195822: Limite de 2 mensagens de encerramento atingido.
10:01:57 [INFO] Processamento da ordem 2000017174195822 concluído. Próxima ordem...
10:01:57 [INFO] Mensagem já Enviada no chat da Ordem 2000017174695154...
10:01:58 [INFO] Mensagem já Enviada no chat da Ordem 2000017175070462...
10:01:59 [INFO] Mensagem já Enviada no chat da Ordem 2000017175449174...
10:02:00 [INFO] Mensagem já Enviada no chat da Ordem 2000017176306362...
10:02:01 [INFO] Mensagem já Enviada no chat da Ordem 2000017176564640...
10:02:02 [INFO] Mensagem já Enviada no chat da Ordem 2000017177879596...
10:02:03 [INFO] Mensagem já Enviada no chat da Ordem 2000017178007004...
10:02:04 [INFO] Mensagem já Enviada no chat da Ordem 2000017178341340...
10:02:05 [INFO] Mensagem já Enviada no chat da Ordem 2000017178630734...
10:02:05 [INFO] Mensagem já Enviada no chat da Ordem 2000017178681098...
10:02:06 [INFO] Mensagem já Enviada no chat da Ordem 2000017179315364...
10:02:06 [INFO] Mensagem já Enviada no chat da Ordem 2000017179554012...
10:02:07 [INFO] Mensagem já Enviada no chat da Ordem 2000017179893598...
10:02:09 [INFO] Mensagem já Enviada no chat da Ordem 2000017180171880...
10:02:10 [INFO] Mensagem já Enviada no chat da Ordem 2000017180602986...
10:02:10 [INFO] Mensagem já Enviada no chat da Ordem 2000017180623338...
10:02:12 [INFO] Mensagem já Enviada no chat da Ordem 2000017180998828...
10:02:12 [INFO] Mensagem já Enviada no chat da Ordem 2000017181127346...
10:02:13 [INFO] Mensagem já Enviada no chat da Ordem 2000017181244548...
10:02:13 [INFO] Mensagem já Enviada no chat da Ordem 2000017181312076...
10:02:14 [INFO] Mensagem já Enviada no chat da Ordem 2000017182333348...
10:02:15 [INFO] Mensagem já Enviada no chat da Ordem 2000017182389242...
10:02:15 [INFO] Mensagem já Enviada no chat da Ordem 2000017182627790...
10:02:16 [INFO] Mensagem já Enviada no chat da Ordem 2000017182964768...
10:02:16 [INFO] Mensagem já Enviada no chat da Ordem 2000017183943578...
10:02:18 [INFO] Mensagem já Enviada no chat da Ordem 2000017184786398...
10:02:18 [INFO] Mensagem já Enviada no chat da Ordem 2000017184952824...
10:02:19 [INFO] Mensagem já Enviada no chat da Ordem 2000017186181474...
10:02:20 [INFO] Mensagem já Enviada no chat da Ordem 2000017186304696...
10:02:21 [INFO] Mensagem já Enviada no chat da Ordem 2000017186338024...
10:02:22 [INFO] Mensagem já Enviada no chat da Ordem 2000017186477136...
10:02:23 [INFO] Mensagem já Enviada no chat da Ordem 2000017186516486...
10:02:24 [INFO] Mensagem já Enviada no chat da Ordem 2000017186767614...
10:02:25 [INFO] Mensagem já Enviada no chat da Ordem 2000017187193228...
